accessionNumber,filingDate,form,primaryDocument,filingHref
0000320193-24-000123,2024-11-01,10-K,aapl-20240928.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm
0000320193-23-000106,2023-11-03,10-K,aapl-20230930.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/aapl-20230930.htm
0000320193-22-000108,2022-10-28,10-K,aapl-20220924.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/aapl-20220924.htm
0000320193-21-000105,2021-10-29,10-K,aapl-20210925.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/aapl-20210925.htm
0000320193-20-000096,2020-10-30,10-K,aapl-20200926.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm
0000320193-19-000119,2019-10-31,10-K,a10-k20199282019.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/a10-k20199282019.htm
0000320193-18-000145,2018-11-05,10-K,a10-k20189292018.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/a10-k20189292018.htm
0000320193-17-000070,2017-11-03,10-K,a10-k20179302017.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/a10-k20179302017.htm
0001628280-16-020309,2016-10-26,10-K,a201610-k9242016.htm,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/a201610-k9242016.htm
0001193125-15-356351,2015-10-28,10-K,d17062d10k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/d17062d10k.htm
0001193125-14-383437,2014-10-27,10-K,d783162d10k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312514383437/d783162d10k.htm
